Title,Status,Authors with affiliation and country
Identification of Financial Transaction Fraud Using KNN and Dimension Reduction with Principal Component Analysis (PCA),accepted,"Natalia Sihite (Universitas Medan Area & Medan, Indonesia); Andre Hasudungan Lubis (Universitas Medan Area, Indonesia); Romi Fadillah Rahmat (Universitas Sumatera Utara, Indonesia); Muhathir Muhathir and Rizki Muliono (Universitas Medan Area, Indonesia)"
Comparative Analysis of Machine Learning Models for Daily Urban Waste Volume's Knowledge Discovery,accepted,"Muhammad Rafli Maulana, Ken Ditha Tania and Purwita Sari (Universitas Sriwijaya, Indonesia)"
Bayesian Network-Based Anomaly Detection for SQL Injection Attacks in HTTP Payloads,accepted,"Nurul Afifah and Dendi Renaldo Permana (Universitas Sriwijaya, Indonesia); Deni Danuarta (RSUD OKU TIMUR, Indonesia); Tri Wanda Septian (Confidential, Indonesia); Deris Stiawan (University of Sriwijaya, Indonesia); Ika Putri Aprilia (Universitas Sriwijaya, Indonesia)"
Optimizing Shortest Path Routing in Software Defined Networks Using Bellman-Ford Algorithm,accepted,"Deris Stiawan (University of Sriwijaya, Indonesia); Heru Saputra (PT. Semen Baturaja, Indonesia); Dian Palupi Rini (Universitas Sriwijaya, Indonesia); Adi Hermansyah (Universitas Sriwijaya, Indonesia & Fakultas Ilmu Komputer, Indonesia); Fepiliana Fepiliana (PT. SAMPOERNA AGRO, Indonesia); Nita Nuraini (Fasilkom unsri, Indonesia)"
ECG Arrhythmia Classification Based on Deep Neural Network with Optimized Feature Selection,Accepted,"Ririn Purnama Sari (Intelligent System Research Group, Indonesia); Annisa Darmawahyuni (University of Sriwijaya, Indonesia); Rosa Julia Erizka (Intelligent System Research Group, Indonesia)"
Building a Unified Knowledge Graph for Nutrition with Mental Health Using Cross-Ontology Semantics,accepted,"Dalila Anwar Dini Rasyidah, Riyanarto Sarno, Kelly Rossa Sungkono, Abdullah Faqih Septiyanto, Rizqy Ahsana Putri and Fadlilatul Taufany (Institut Teknologi Sepuluh Nopember, Indonesia); Muhammad Suzuri Hitam (Universiti Malaysia Terengganu, Malaysia)"
"Task-Aligned Pipeline for UAV-Based Palm Tree Age Estimation Using YOLOv8, CNN Embedding, and Regression Models",accepted,"Yovi Pratama (Universitas Dinamika Bangsa, Indonesia & Universiti Teknologi Malaysia, Malaysia); Mohd. Yazid Idris (Universiti Teknologi Malaysia, Malaysia); Errissya Rasywir (Universitas Sriwijaya, Indonesia & Dinamika Bangsa University, Indonesia); Afrizal Nehemia (Universiti Teknology Malaysia, Indonesia); Chindra Saputra and M Irwan Bustami (Universitas Dinamika Bangsa, Indonesia)"
Experimental Testing of the Performance of Vortex Turbines with an Inclined Blade Model,accepted,"Ridwan Arief Subekti (National Research and Innovation Agency (BRIN), Indonesia & Universiti Teknologi Malaysia, Malaysia); Fazila Mohd Zawawi, Kamarulafizam Ismail and Iskandar Shah Ishak (Universiti Teknologi Malaysia, Malaysia); Anjar Susatyo (Indonesian Institute of Sciences Indonesia, Indonesia); Andes Dwi Ramadhan, S.T (Institut Teknologi Indonesia, Indonesia & None, Indonesia); Ahmad Rajani (National Research and Innovation Agency, Indonesia); Ahmad Fudholi (Badan Riset dan Inovasi Nasional (BRIN), Indonesia); Kemahyanto Exaudi (Universitas Sriwijaya, Indonesia)"
Low-Cost of Portable Solar-Powered Telescopic Lamp for Remote Island Area,accepted,"Ridwan Arief Subekti (National Research and Innovation Agency (BRIN), Indonesia & Universiti Teknologi Malaysia, Malaysia); Fazila Mohd Zawawi and Kamarulafizam Ismail (Universiti Teknologi Malaysia, Malaysia); Kadek Heri Sanjaya, Ph. D, Ahmad Rajani, Hendri Maja Saputra and Dalmasius Ganjar Subagio (National Research and Innovation Agency, Indonesia); Yadi Radiansah (BRIN, Indonesia & Research Center for Energy Conversion and Conservation, Indonesia); Ahmad Fudholi (Badan Riset dan Inovasi Nasional (BRIN), Indonesia); Kemahyanto Exaudi (Universitas Sriwijaya, Indonesia); Aditya Putra Perdana Prasetyo (Universitas Sriwijaya, Indonesia & Universiti Teknologi Malaysia, Malaysia)"
Performance of Portable Solar-Powered Lamp for Remote Area in Indonesia,accepted,"Kadek Heri Sanjaya, Ph. D (National Research and Innovation Agency, Indonesia); Ridwan Arief Subekti (National Research and Innovation Agency (BRIN), Indonesia & Universiti Teknologi Malaysia, Malaysia); Fazila Mohd Zawawi and Kamarulafizam Ismail (Universiti Teknologi Malaysia, Malaysia); Ahmad Rajani, Hendri Maja Saputra and Dalmasius Ganjar Subagio (National Research and Innovation Agency, Indonesia); Yadi Radiansah (BRIN, Indonesia & Research Center for Energy Conversion and Conservation, Indonesia); Ahmad Fudholi (Badan Riset dan Inovasi Nasional (BRIN), Indonesia); Kemahyanto Exaudi (Universitas Sriwijaya, Indonesia); Aditya Putra Perdana Prasetyo (Universitas Sriwijaya, Indonesia & Universiti Teknologi Malaysia, Malaysia)"
